 Theta   Phi 	 Gain(dB)   	   Gain   	   Phase(deg)
  0   0  -22.94         0.01        -116.71
  5   0  -31.87         0.00        -118.26
 10   0  -23.14         0.00        -118.69
 15   0  -18.93         0.01        -122.25
 20   0  -16.38         0.02        -122.17
 25   0  -13.83         0.04        -118.26
 30   0  -11.95         0.06        -117.70
 35   0  -10.34         0.09        -115.12
 40   0   -8.72         0.13        -115.51
 45   0   -8.05         0.16        -116.20
 50   0   -7.11         0.19        -116.18
 55   0   -6.18         0.24        -118.20
 60   0   -5.37         0.29        -115.18
 65   0   -4.38         0.36        -118.18
 70   0   -3.99         0.40        -117.91
 75   0   -3.31         0.47        -118.78
 80   0   -2.84         0.52        -119.33
 85   0   -2.26         0.59        -119.17
 90   0   -2.22         0.60        -120.85
 95   0   -2.55         0.56        -119.82
100   0   -2.66         0.54        -121.07
105   0   -2.98         0.50        -121.72
110   0   -3.66         0.43        -121.50
115   0   -4.43         0.36        -122.13
120   0   -4.89         0.32        -121.16
125   0   -6.04         0.25        -119.90
130   0   -6.68         0.21        -116.05
135   0   -7.63         0.17        -115.19
140   0   -9.05         0.12        -116.47
145   0  -10.49         0.09        -118.19
150   0  -11.86         0.07        -116.15
155   0  -13.99         0.04        -117.02
160   0  -15.13         0.03        -116.89
165   0  -17.72         0.02        -115.88
170   0  -20.70         0.01        -116.18
175   0  -33.28         0.00        -112.11
180   0  -26.04         0.00        -110.08
